sample_accession	secondary_sample_accession	run_accession	fastq_ftp
SAMN00194182	SRS155799	SRR095763	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095763/SRR095763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095763/SRR095763_2.fastq.gz
SAMN00194182	SRS155799	SRR095764	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095764/SRR095764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095764/SRR095764_2.fastq.gz
SAMN00194182	SRS155799	SRR095765	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095765/SRR095765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095765/SRR095765_2.fastq.gz
SAMN00194183	SRS155800	SRR095766	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095766/SRR095766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095766/SRR095766_2.fastq.gz
SAMN00194183	SRS155800	SRR095767	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095767/SRR095767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095767/SRR095767_2.fastq.gz
SAMN00194184	SRS155801	SRR095768	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095768/SRR095768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095768/SRR095768_2.fastq.gz
SAMN00194184	SRS155801	SRR095769	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095769/SRR095769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095769/SRR095769_2.fastq.gz
SAMN00194185	SRS155802	SRR095770	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095770/SRR095770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095770/SRR095770_2.fastq.gz
SAMN00194185	SRS155802	SRR095771	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095771/SRR095771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095771/SRR095771_2.fastq.gz
SAMN00194187	SRS155804	SRR095772	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095772/SRR095772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095772/SRR095772_2.fastq.gz
SAMN00194187	SRS155804	SRR095773	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095773/SRR095773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095773/SRR095773_2.fastq.gz
SAMN00194188	SRS155805	SRR095774	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095774/SRR095774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095774/SRR095774_2.fastq.gz
SAMN00194188	SRS155805	SRR095775	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095775/SRR095775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095775/SRR095775_2.fastq.gz
SAMN00194189	SRS155806	SRR095776	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095776/SRR095776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095776/SRR095776_2.fastq.gz
SAMN00194189	SRS155806	SRR095777	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095777/SRR095777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095777/SRR095777_2.fastq.gz
